trade_no,symbol,version,direction,signal_type,signal_price,entry_price,exit_price,stop_loss,take_profit,atr,spread_pips,spread_usd,slippage_entry_pips,slippage_entry_usd,slippage_exit_pips,slippage_exit_usd,total_cost_usd,entry_time,exit_time,duration_bars,gross_pnl_pips,gross_pnl_usd,net_pnl_pips,net_pnl_usd,balance_after,lot_size
1,EURUSD,V3_Muhafazakar,LONG,momentum,1.16605,1.16625,1.16188,1.16188,1.17438,0.00208,1.5,0.75,1.28,0.64,0.05,0.025,1.415,2026-03-10 09:00:00+00:00,2026-03-10 20:00:00+00:00,11,-43.69,-21.8431,-46.52,-23.2581,26.74,0.05
2,EURUSD,V3_Muhafazakar,SHORT,pullback,1.15072,1.15059,1.14446,1.15385,1.14446,0.00156,1.5,0.75,0.55,0.275,0.0,0.0,1.025,2026-03-18 14:00:00+00:00,2026-03-19 10:00:00+00:00,20,61.29,30.6449,59.24,29.6199,56.36,0.05
3,EURUSD,V3_Muhafazakar,LONG,pullback,1.16126,1.16138,1.15499,1.15514,1.1735,0.00306,1.5,0.75,0.45,0.225,1.47,0.735,1.71,2026-03-23 14:00:00+00:00,2026-03-26 08:00:00+00:00,66,-62.4,-31.2016,-65.82,-32.9116,23.45,0.05
4,EURUSD,V3_Muhafazakar,SHORT,momentum,1.15191,1.1517,1.15472,1.15454,1.14665,0.00132,1.5,0.75,1.35,0.675,1.78,0.89,2.315,2026-03-27 11:00:00+00:00,2026-03-27 17:00:00+00:00,6,-28.41,-14.2048,-33.04,-16.5198,6.93,0.05
5,EURUSD,V3_Muhafazakar,SHORT,momentum,1.14944,1.14935,1.1522,1.15212,1.14408,0.00134,1.5,0.75,0.17,0.085,0.84,0.42,1.255,2026-03-30 12:00:00+00:00,2026-03-31 16:00:00+00:00,28,-27.7,-13.8484,-30.21,-15.1034,-8.17,0.05
