trade_no,symbol,version,direction,signal_type,signal_price,entry_price,exit_price,stop_loss,take_profit,atr,spread_pips,spread_usd,slippage_entry_pips,slippage_entry_usd,slippage_exit_pips,slippage_exit_usd,total_cost_usd,entry_time,exit_time,duration_bars,gross_pnl_pips,gross_pnl_usd,net_pnl_pips,net_pnl_usd,balance_after,lot_size
1,EURUSD,V2_Dengeli,LONG,pullback,1.1573,1.1575,1.16522,1.15334,1.16522,0.00264,1.5,0.75,1.28,0.64,0.0,0.0,1.39,2026-03-09 16:00:00+00:00,2026-03-10 09:00:00+00:00,17,77.22,38.6077,74.44,37.2177,87.22,0.05
2,EURUSD,V2_Dengeli,LONG,bb_bounce,1.15945,1.15953,1.15684,1.1569,1.16456,0.0017,1.5,0.75,0.05,0.025,0.55,0.275,1.05,2026-03-11 13:00:00+00:00,2026-03-11 17:00:00+00:00,4,-26.34,-13.1705,-28.44,-14.2205,73.0,0.05
3,EURUSD,V2_Dengeli,LONG,bb_bounce,1.15219,1.15231,1.14958,1.14972,1.15712,0.00164,1.5,0.75,0.45,0.225,1.47,0.735,1.71,2026-03-12 17:00:00+00:00,2026-03-13 08:00:00+00:00,15,-25.85,-12.9269,-29.27,-14.6369,58.36,0.05
4,EURUSD,V2_Dengeli,SHORT,bb_bounce,1.14885,1.14864,1.15157,1.15139,1.14377,0.00169,1.5,0.75,1.35,0.675,1.78,0.89,2.315,2026-03-16 16:00:00+00:00,2026-03-16 20:00:00+00:00,4,-27.51,-13.7537,-32.14,-16.0687,42.29,0.05
5,EURUSD,V2_Dengeli,SHORT,pullback,1.14816,1.14807,1.15039,1.15031,1.14387,0.00143,1.5,0.75,0.17,0.085,0.84,0.42,1.255,2026-03-17 08:00:00+00:00,2026-03-17 10:00:00+00:00,2,-22.39,-11.1952,-24.9,-12.4502,29.84,0.05
6,EURUSD,V2_Dengeli,SHORT,bb_bounce,1.15164,1.15156,1.15408,1.15403,1.14686,0.00159,1.5,0.75,0.06,0.03,0.44,0.22,1.0,2026-03-17 11:00:00+00:00,2026-03-17 15:00:00+00:00,4,-24.73,-12.3648,-26.73,-13.3648,16.48,0.05
7,EURUSD,V2_Dengeli,SHORT,bb_bounce,1.15248,1.1523,1.15499,1.15498,1.14748,0.00167,1.5,0.75,1.01,0.505,0.05,0.025,1.28,2026-03-17 17:00:00+00:00,2026-03-18 13:00:00+00:00,20,-26.78,-13.3899,-29.34,-14.6699,1.81,0.05
